2019-04-20 16:01:07 ===== Starting: rave =====
2019-04-20 16:01:10 Run
2019-04-20 16:01:10 id = 5 (local); Seed = 0; Starting new sample
2019-04-20 18:39:11 id = 1 (local); Seed = 585; Done (0)
2019-04-20 18:39:11 id = 1 (local); Seed = 591; Starting new sample
2019-04-20 18:39:21 id = 5 (local); Seed = 586; Done (0)
2019-04-20 18:39:21 id = 5 (local); Seed = 592; Starting new sample
2019-04-20 18:40:14 id = 3 (local); Seed = 587; Done (0)
2019-04-20 18:40:14 id = 3 (local); Seed = 593; Starting new sample
2019-04-20 18:40:20 id = 0 (local); Seed = 588; Done (0)
2019-04-20 18:40:20 id = 0 (local); Seed = 594; Starting new sample
2019-04-20 18:40:32 id = 2 (local); Seed = 589; Done (0)
2019-04-20 18:40:32 id = 2 (local); Seed = 595; Starting new sample
2019-04-20 18:40:36 id = 4 (local); Seed = 590; Done (1)
2019-04-20 18:40:36 id = 4 (local); Seed = 596; Starting new sample
2019-04-20 18:40:47 id = 5 (local); Seed = 592; Done (0)
2019-04-20 18:40:47 id = 5 (local); Seed = 597; Starting new sample
2019-04-20 18:40:54 id = 1 (local); Seed = 591; Done (2)
2019-04-20 18:40:54 id = 1 (local); Seed = 598; Starting new sample
2019-04-20 18:41:52 id = 4 (local); Seed = 596; Done (0)
2019-04-20 18:41:52 id = 4 (local); Seed = 599; Starting new sample
2019-04-20 18:41:53 id = 3 (local); Seed = 593; Done (0)
2019-04-20 18:41:53 id = 3 (local); Seed = 600; Starting new sample
2019-04-20 18:42:02 id = 0 (local); Seed = 594; Done (1)
2019-04-20 18:42:02 id = 0 (local); Seed = 601; Starting new sample
2019-04-20 18:42:15 id = 2 (local); Seed = 595; Done (0)
2019-04-20 18:42:15 id = 2 (local); Seed = 602; Starting new sample
2019-04-20 18:42:26 id = 5 (local); Seed = 597; Done (1)
2019-04-20 18:42:26 id = 5 (local); Seed = 603; Starting new sample
2019-04-20 18:42:36 id = 1 (local); Seed = 598; Done (0)
2019-04-20 18:42:36 id = 1 (local); Seed = 604; Starting new sample
2019-04-20 18:43:28 id = 3 (local); Seed = 600; Done (0)
2019-04-20 18:43:28 id = 3 (local); Seed = 605; Starting new sample
2019-04-20 18:43:34 id = 4 (local); Seed = 599; Done (0)
2019-04-20 18:43:34 id = 4 (local); Seed = 606; Starting new sample
2019-04-20 18:43:41 id = 0 (local); Seed = 601; Done (0)
2019-04-20 18:43:41 id = 0 (local); Seed = 607; Starting new sample
2019-04-20 18:43:57 id = 2 (local); Seed = 602; Done (1)
2019-04-20 18:43:57 id = 2 (local); Seed = 608; Starting new sample
2019-04-20 18:44:08 id = 5 (local); Seed = 603; Done (2)
2019-04-20 18:44:08 id = 5 (local); Seed = 609; Starting new sample
2019-04-20 18:44:13 id = 1 (local); Seed = 604; Done (1)
2019-04-20 18:44:13 id = 1 (local); Seed = 610; Starting new sample
2019-04-20 18:45:02 id = 3 (local); Seed = 605; Done (0)
2019-04-20 18:45:02 id = 3 (local); Seed = 611; Starting new sample
2019-04-20 18:45:16 id = 4 (local); Seed = 606; Done (1)
2019-04-20 18:45:16 id = 4 (local); Seed = 612; Starting new sample
2019-04-20 18:45:24 id = 0 (local); Seed = 607; Done (1)
2019-04-20 18:45:24 id = 0 (local); Seed = 613; Starting new sample
2019-04-20 18:45:31 id = 2 (local); Seed = 608; Done (0)
2019-04-20 18:45:31 id = 2 (local); Seed = 614; Starting new sample
2019-04-20 18:45:47 id = 5 (local); Seed = 609; Done (0)
2019-04-20 18:45:47 id = 5 (local); Seed = 615; Starting new sample
2019-04-20 18:45:56 id = 1 (local); Seed = 610; Done (2)
2019-04-20 18:45:56 id = 1 (local); Seed = 616; Starting new sample
2019-04-20 18:46:42 id = 4 (local); Seed = 612; Done (0)
2019-04-20 18:46:42 id = 4 (local); Seed = 617; Starting new sample
2019-04-20 18:46:44 id = 3 (local); Seed = 611; Done (1)
2019-04-20 18:46:44 id = 3 (local); Seed = 618; Starting new sample
2019-04-20 18:46:46 id = 0 (local); Seed = 613; Done (0)
2019-04-20 18:46:46 id = 0 (local); Seed = 619; Starting new sample
2019-04-20 18:47:13 id = 2 (local); Seed = 614; Done (1)
2019-04-20 18:47:13 id = 2 (local); Seed = 620; Starting new sample
2019-04-20 18:47:29 id = 5 (local); Seed = 615; Done (2)
2019-04-20 18:47:29 id = 5 (local); Seed = 621; Starting new sample
2019-04-20 18:47:33 id = 1 (local); Seed = 616; Done (0)
2019-04-20 18:47:33 id = 1 (local); Seed = 622; Starting new sample
2019-04-20 18:48:21 id = 4 (local); Seed = 617; Done (0)
2019-04-20 18:48:21 id = 4 (local); Seed = 623; Starting new sample
2019-04-20 18:48:26 id = 3 (local); Seed = 618; Done (0)
2019-04-20 18:48:26 id = 3 (local); Seed = 624; Starting new sample
2019-04-20 18:48:28 id = 0 (local); Seed = 619; Done (2)
2019-04-20 18:48:28 id = 0 (local); Seed = 625; Starting new sample
2019-04-20 18:48:51 id = 2 (local); Seed = 620; Done (0)
2019-04-20 18:48:51 id = 2 (local); Seed = 626; Starting new sample
2019-04-20 18:49:08 id = 5 (local); Seed = 621; Done (0)
2019-04-20 18:49:08 id = 5 (local); Seed = 627; Starting new sample
2019-04-20 18:49:16 id = 1 (local); Seed = 622; Done (1)
2019-04-20 18:49:16 id = 1 (local); Seed = 628; Starting new sample
2019-04-20 18:49:51 id = 0 (local); Seed = 625; Done (0)
2019-04-20 18:49:51 id = 0 (local); Seed = 629; Starting new sample
2019-04-20 18:50:03 id = 4 (local); Seed = 623; Done (0)
2019-04-20 18:50:03 id = 4 (local); Seed = 630; Starting new sample
2019-04-20 18:50:04 id = 3 (local); Seed = 624; Done (1)
2019-04-20 18:50:04 id = 3 (local); Seed = 631; Starting new sample
2019-04-20 18:50:16 id = 2 (local); Seed = 626; Done (1)
2019-04-20 18:50:16 id = 2 (local); Seed = 632; Starting new sample
2019-04-20 18:50:50 id = 5 (local); Seed = 627; Done (2)
2019-04-20 18:50:50 id = 5 (local); Seed = 633; Starting new sample
2019-04-20 18:50:54 id = 1 (local); Seed = 628; Done (0)
2019-04-20 18:50:54 id = 1 (local); Seed = 634; Starting new sample
2019-04-20 18:51:30 id = 0 (local); Seed = 629; Done (0)
2019-04-20 18:51:30 id = 0 (local); Seed = 635; Starting new sample
2019-04-20 18:51:45 id = 4 (local); Seed = 630; Done (0)
2019-04-20 18:51:45 id = 4 (local); Seed = 636; Starting new sample
2019-04-20 18:51:46 id = 3 (local); Seed = 631; Done (1)
2019-04-20 18:51:46 id = 3 (local); Seed = 637; Starting new sample
2019-04-20 18:51:54 id = 2 (local); Seed = 632; Done (0)
2019-04-20 18:51:54 id = 2 (local); Seed = 638; Starting new sample
2019-04-20 18:52:29 id = 5 (local); Seed = 633; Done (0)
2019-04-20 18:52:29 id = 5 (local); Seed = 639; Starting new sample
2019-04-20 18:52:36 id = 1 (local); Seed = 634; Done (1)
2019-04-20 18:52:37 id = 1 (local); Seed = 640; Starting new sample
2019-04-20 18:53:01 id = 3 (local); Seed = 637; Done (0)
2019-04-20 18:53:01 id = 3 (local); Seed = 641; Starting new sample
2019-04-20 18:53:12 id = 0 (local); Seed = 635; Done (1)
2019-04-20 18:53:12 id = 0 (local); Seed = 642; Starting new sample
2019-04-20 18:53:23 id = 4 (local); Seed = 636; Done (1)
2019-04-20 18:53:23 id = 4 (local); Seed = 643; Starting new sample
2019-04-20 18:53:36 id = 2 (local); Seed = 638; Done (0)
2019-04-20 18:53:36 id = 2 (local); Seed = 644; Starting new sample
2019-04-20 18:53:58 id = 1 (local); Seed = 640; Done (0)
2019-04-20 18:53:58 id = 1 (local); Seed = 645; Starting new sample
2019-04-20 18:54:12 id = 5 (local); Seed = 639; Done (0)
2019-04-20 18:54:12 id = 5 (local); Seed = 646; Starting new sample
2019-04-20 18:54:31 id = 3 (local); Seed = 641; Done (0)
2019-04-20 18:54:31 id = 3 (local); Seed = 647; Starting new sample
2019-04-20 18:54:55 id = 0 (local); Seed = 642; Done (0)
2019-04-20 18:54:55 id = 0 (local); Seed = 648; Starting new sample
2019-04-20 18:54:57 id = 2 (local); Seed = 644; Done (0)
2019-04-20 18:54:57 id = 2 (local); Seed = 649; Starting new sample
2019-04-20 18:55:05 id = 4 (local); Seed = 643; Done (1)
2019-04-20 18:55:05 id = 4 (local); Seed = 650; Starting new sample
2019-04-20 18:55:36 id = 1 (local); Seed = 645; Done (0)
2019-04-20 18:55:36 id = 1 (local); Seed = 651; Starting new sample
2019-04-20 18:55:54 id = 5 (local); Seed = 646; Done (0)
2019-04-20 18:55:54 id = 5 (local); Seed = 652; Starting new sample
2019-04-20 18:56:03 id = 3 (local); Seed = 647; Done (1)
2019-04-20 18:56:03 id = 3 (local); Seed = 653; Starting new sample
2019-04-20 18:56:17 id = 0 (local); Seed = 648; Done (0)
2019-04-20 18:56:17 id = 0 (local); Seed = 654; Starting new sample
2019-04-20 18:56:36 id = 2 (local); Seed = 649; Done (0)
2019-04-20 18:56:36 id = 2 (local); Seed = 655; Starting new sample
2019-04-20 18:56:48 id = 4 (local); Seed = 650; Done (0)
2019-04-20 18:56:48 id = 4 (local); Seed = 656; Starting new sample
2019-04-20 18:57:12 id = 5 (local); Seed = 652; Done (0)
2019-04-20 18:57:12 id = 5 (local); Seed = 657; Starting new sample
2019-04-20 18:57:18 id = 1 (local); Seed = 651; Done (0)
2019-04-20 18:57:18 id = 1 (local); Seed = 658; Starting new sample
2019-04-20 18:57:32 id = 3 (local); Seed = 653; Done (0)
2019-04-20 18:57:32 id = 3 (local); Seed = 659; Starting new sample
2019-04-20 18:57:59 id = 0 (local); Seed = 654; Done (0)
2019-04-20 18:57:59 id = 0 (local); Seed = 660; Starting new sample
2019-04-20 18:58:06 id = 4 (local); Seed = 656; Done (0)
2019-04-20 18:58:06 id = 4 (local); Seed = 661; Starting new sample
2019-04-20 18:58:18 id = 2 (local); Seed = 655; Done (1)
2019-04-20 18:58:18 id = 2 (local); Seed = 662; Starting new sample
2019-04-20 18:58:52 id = 5 (local); Seed = 657; Done (1)
2019-04-20 18:58:52 id = 5 (local); Seed = 663; Starting new sample
2019-04-20 18:59:00 id = 1 (local); Seed = 658; Done (0)
2019-04-20 18:59:00 id = 1 (local); Seed = 664; Starting new sample
2019-04-20 18:59:14 id = 3 (local); Seed = 659; Done (0)
2019-04-20 18:59:14 id = 3 (local); Seed = 665; Starting new sample
2019-04-20 18:59:21 id = 0 (local); Seed = 660; Done (0)
2019-04-20 18:59:21 id = 0 (local); Seed = 666; Starting new sample
2019-04-20 18:59:45 id = 4 (local); Seed = 661; Done (0)
2019-04-20 18:59:45 id = 4 (local); Seed = 667; Starting new sample
2019-04-20 19:00:00 id = 2 (local); Seed = 662; Done (0)
2019-04-20 19:00:00 id = 2 (local); Seed = 668; Starting new sample
2019-04-20 19:00:07 id = 5 (local); Seed = 663; Done (1)
2019-04-20 19:00:07 id = 5 (local); Seed = 669; Starting new sample
2019-04-20 19:00:19 id = 1 (local); Seed = 664; Done (0)
2019-04-20 19:00:19 id = 1 (local); Seed = 670; Starting new sample
2019-04-20 19:00:53 id = 3 (local); Seed = 665; Done (0)
2019-04-20 19:00:53 id = 3 (local); Seed = 671; Starting new sample
2019-04-20 19:01:03 id = 0 (local); Seed = 666; Done (1)
2019-04-20 19:01:03 id = 0 (local); Seed = 672; Starting new sample
2019-04-20 19:01:27 id = 4 (local); Seed = 667; Done (0)
2019-04-20 19:01:27 id = 4 (local); Seed = 673; Starting new sample
2019-04-20 19:01:29 id = 2 (local); Seed = 668; Done (0)
2019-04-20 19:01:29 id = 2 (local); Seed = 674; Starting new sample
2019-04-20 19:01:45 id = 5 (local); Seed = 669; Done (0)
2019-04-20 19:01:45 id = 5 (local); Seed = 675; Starting new sample
2019-04-20 19:02:01 id = 1 (local); Seed = 670; Done (2)
2019-04-20 19:02:01 id = 1 (local); Seed = 676; Starting new sample
2019-04-20 19:02:32 id = 0 (local); Seed = 672; Done (0)
2019-04-20 19:02:32 id = 0 (local); Seed = 677; Starting new sample
2019-04-20 19:02:36 id = 3 (local); Seed = 671; Done (2)
2019-04-20 19:02:36 id = 3 (local); Seed = 678; Starting new sample
2019-04-20 19:03:05 id = 4 (local); Seed = 673; Done (0)
2019-04-20 19:03:05 id = 4 (local); Seed = 679; Starting new sample
2019-04-20 19:03:12 id = 2 (local); Seed = 674; Done (0)
2019-04-20 19:03:12 id = 2 (local); Seed = 680; Starting new sample
2019-04-20 19:03:26 id = 1 (local); Seed = 676; Done (1)
2019-04-20 19:03:26 id = 1 (local); Seed = 681; Starting new sample
2019-04-20 19:03:27 id = 5 (local); Seed = 675; Done (1)
2019-04-20 19:03:27 id = 5 (local); Seed = 682; Starting new sample
2019-04-20 19:03:51 id = 0 (local); Seed = 677; Done (0)
2019-04-20 19:03:51 id = 0 (local); Seed = 683; Starting new sample
2019-04-20 19:04:18 id = 3 (local); Seed = 678; Done (0)
2019-04-20 19:04:18 id = 3 (local); Seed = 684; Starting new sample
2019-04-20 19:04:40 id = 2 (local); Seed = 680; Done (0)
2019-04-20 19:04:40 id = 2 (local); Seed = 685; Starting new sample
2019-04-20 19:04:47 id = 4 (local); Seed = 679; Done (1)
2019-04-20 19:04:47 id = 4 (local); Seed = 686; Starting new sample
2019-04-20 19:05:05 id = 1 (local); Seed = 681; Done (0)
2019-04-20 19:05:05 id = 1 (local); Seed = 687; Starting new sample
2019-04-20 19:05:10 id = 5 (local); Seed = 682; Done (0)
2019-04-20 19:05:10 id = 5 (local); Seed = 688; Starting new sample
2019-04-20 19:05:34 id = 0 (local); Seed = 683; Done (0)
2019-04-20 19:05:34 id = 0 (local); Seed = 689; Starting new sample
2019-04-20 19:05:56 id = 3 (local); Seed = 684; Done (1)
2019-04-20 19:05:56 id = 3 (local); Seed = 690; Starting new sample
2019-04-20 19:06:23 id = 2 (local); Seed = 685; Done (2)
2019-04-20 19:06:23 id = 2 (local); Seed = 691; Starting new sample
2019-04-20 19:06:29 id = 4 (local); Seed = 686; Done (2)
2019-04-20 19:06:29 id = 4 (local); Seed = 692; Starting new sample
2019-04-20 19:06:45 id = 5 (local); Seed = 688; Done (0)
2019-04-20 19:06:45 id = 5 (local); Seed = 693; Starting new sample
2019-04-20 19:06:47 id = 1 (local); Seed = 687; Done (0)
2019-04-20 19:06:47 id = 1 (local); Seed = 694; Starting new sample
2019-04-20 19:07:03 id = 0 (local); Seed = 689; Done (1)
2019-04-20 19:07:03 id = 0 (local); Seed = 695; Starting new sample
2019-04-20 19:07:38 id = 3 (local); Seed = 690; Done (1)
2019-04-20 19:07:38 id = 3 (local); Seed = 696; Starting new sample
2019-04-20 19:07:53 id = 4 (local); Seed = 692; Done (0)
2019-04-20 19:07:53 id = 4 (local); Seed = 697; Starting new sample
2019-04-20 19:08:05 id = 2 (local); Seed = 691; Done (2)
2019-04-20 19:08:05 id = 2 (local); Seed = 698; Starting new sample
2019-04-20 19:08:24 id = 5 (local); Seed = 693; Done (0)
2019-04-20 19:08:24 id = 5 (local); Seed = 699; Starting new sample
2019-04-20 19:08:30 id = 1 (local); Seed = 694; Done (0)
2019-04-20 19:08:30 id = 1 (local); Seed = 700; Starting new sample
2019-04-20 19:08:45 id = 0 (local); Seed = 695; Done (1)
2019-04-20 19:08:45 id = 0 (local); Seed = 701; Starting new sample
2019-04-20 19:09:15 id = 3 (local); Seed = 696; Done (0)
2019-04-20 19:09:15 id = 3 (local); Seed = 702; Starting new sample
2019-04-20 19:09:31 id = 4 (local); Seed = 697; Done (0)
2019-04-20 19:09:31 id = 4 (local); Seed = 703; Starting new sample
2019-04-20 19:09:39 id = 5 (local); Seed = 699; Done (0)
2019-04-20 19:09:39 id = 5 (local); Seed = 704; Starting new sample
2019-04-20 19:09:47 id = 2 (local); Seed = 698; Done (0)
2019-04-20 19:09:47 id = 2 (local); Seed = 705; Starting new sample
2019-04-20 19:10:05 id = 1 (local); Seed = 700; Done (0)
2019-04-20 19:10:05 id = 1 (local); Seed = 706; Starting new sample
2019-04-20 19:10:15 id = 0 (local); Seed = 701; Done (0)
2019-04-20 19:10:15 id = 0 (local); Seed = 707; Starting new sample
2019-04-20 19:10:58 id = 3 (local); Seed = 702; Done (2)
2019-04-20 19:10:58 id = 3 (local); Seed = 708; Starting new sample
2019-04-20 19:11:13 id = 4 (local); Seed = 703; Done (0)
2019-04-20 19:11:13 id = 4 (local); Seed = 709; Starting new sample
2019-04-20 19:11:17 id = 5 (local); Seed = 704; Done (0)
2019-04-20 19:11:17 id = 5 (local); Seed = 710; Starting new sample
2019-04-20 19:11:20 id = 2 (local); Seed = 705; Done (1)
2019-04-20 19:11:20 id = 2 (local); Seed = 711; Starting new sample
2019-04-20 19:11:47 id = 1 (local); Seed = 706; Done (1)
2019-04-20 19:11:47 id = 1 (local); Seed = 712; Starting new sample
2019-04-20 19:11:57 id = 0 (local); Seed = 707; Done (2)
2019-04-20 19:11:57 id = 0 (local); Seed = 713; Starting new sample
2019-04-20 19:12:16 id = 3 (local); Seed = 708; Done (0)
2019-04-20 19:12:16 id = 3 (local); Seed = 714; Starting new sample
2019-04-20 19:12:45 id = 5 (local); Seed = 710; Done (1)
2019-04-20 19:12:45 id = 5 (local); Seed = 715; Starting new sample
2019-04-20 19:12:52 id = 4 (local); Seed = 709; Done (0)
2019-04-20 19:12:52 id = 4 (local); Seed = 716; Starting new sample
2019-04-20 19:13:02 id = 2 (local); Seed = 711; Done (1)
2019-04-20 19:13:02 id = 2 (local); Seed = 717; Starting new sample
2019-04-20 19:13:25 id = 1 (local); Seed = 712; Done (0)
2019-04-20 19:13:25 id = 1 (local); Seed = 718; Starting new sample
2019-04-20 19:13:36 id = 0 (local); Seed = 713; Done (1)
2019-04-20 19:13:36 id = 0 (local); Seed = 719; Starting new sample
2019-04-20 19:13:59 id = 3 (local); Seed = 714; Done (0)
2019-04-20 19:13:59 id = 3 (local); Seed = 720; Starting new sample
2019-04-20 19:14:16 id = 4 (local); Seed = 716; Done (0)
2019-04-20 19:14:16 id = 4 (local); Seed = 721; Starting new sample
2019-04-20 19:14:28 id = 5 (local); Seed = 715; Done (0)
2019-04-20 19:14:28 id = 5 (local); Seed = 722; Starting new sample
2019-04-20 19:14:41 id = 2 (local); Seed = 717; Done (1)
2019-04-20 19:14:41 id = 2 (local); Seed = 723; Starting new sample
2019-04-20 19:15:04 id = 1 (local); Seed = 718; Done (0)
2019-04-20 19:15:04 id = 1 (local); Seed = 724; Starting new sample
2019-04-20 19:15:05 id = 0 (local); Seed = 719; Done (1)
2019-04-20 19:15:05 id = 0 (local); Seed = 725; Starting new sample
2019-04-20 19:15:21 id = 3 (local); Seed = 720; Done (0)
2019-04-20 19:15:21 id = 3 (local); Seed = 726; Starting new sample
2019-04-20 19:15:54 id = 4 (local); Seed = 721; Done (0)
2019-04-20 19:15:54 id = 4 (local); Seed = 727; Starting new sample
2019-04-20 19:16:10 id = 5 (local); Seed = 722; Done (2)
2019-04-20 19:16:10 id = 5 (local); Seed = 728; Starting new sample
2019-04-20 19:16:23 id = 2 (local); Seed = 723; Done (1)
2019-04-20 19:16:23 id = 2 (local); Seed = 729; Starting new sample
2019-04-20 19:16:41 id = 1 (local); Seed = 724; Done (0)
2019-04-20 19:16:42 id = 1 (local); Seed = 730; Starting new sample
2019-04-20 19:16:44 id = 0 (local); Seed = 725; Done (0)
2019-04-20 19:16:44 id = 0 (local); Seed = 731; Starting new sample
2019-04-20 19:17:03 id = 3 (local); Seed = 726; Done (1)
2019-04-20 19:17:03 id = 3 (local); Seed = 732; Starting new sample
2019-04-20 19:17:36 id = 4 (local); Seed = 727; Done (0)
2019-04-20 19:17:36 id = 4 (local); Seed = 733; Starting new sample
2019-04-20 19:17:48 id = 5 (local); Seed = 728; Done (0)
2019-04-20 19:17:48 id = 5 (local); Seed = 734; Starting new sample
2019-04-20 19:18:01 id = 2 (local); Seed = 729; Done (0)
2019-04-20 19:18:01 id = 2 (local); Seed = 735; Starting new sample
2019-04-20 19:18:24 id = 1 (local); Seed = 730; Done (0)
2019-04-20 19:18:24 id = 1 (local); Seed = 736; Starting new sample
2019-04-20 19:18:26 id = 0 (local); Seed = 731; Done (0)
2019-04-20 19:18:26 id = 0 (local); Seed = 737; Starting new sample
2019-04-20 19:18:39 id = 3 (local); Seed = 732; Done (0)
2019-04-20 19:18:39 id = 3 (local); Seed = 738; Starting new sample
2019-04-20 19:19:08 id = 4 (local); Seed = 733; Done (1)
2019-04-20 19:19:08 id = 4 (local); Seed = 739; Starting new sample
2019-04-20 19:19:30 id = 5 (local); Seed = 734; Done (0)
2019-04-20 19:19:30 id = 5 (local); Seed = 740; Starting new sample
2019-04-20 19:19:43 id = 2 (local); Seed = 735; Done (1)
2019-04-20 19:19:43 id = 2 (local); Seed = 741; Starting new sample
2019-04-20 19:20:00 id = 0 (local); Seed = 737; Done (0)
2019-04-20 19:20:00 id = 0 (local); Seed = 742; Starting new sample
2019-04-20 19:20:02 id = 1 (local); Seed = 736; Done (0)
2019-04-20 19:20:02 id = 1 (local); Seed = 743; Starting new sample
2019-04-20 19:20:21 id = 3 (local); Seed = 738; Done (0)
2019-04-20 19:20:21 id = 3 (local); Seed = 744; Starting new sample
2019-04-20 19:20:50 id = 4 (local); Seed = 739; Done (1)
2019-04-20 19:20:50 id = 4 (local); Seed = 745; Starting new sample
2019-04-20 19:21:07 id = 5 (local); Seed = 740; Done (0)
2019-04-20 19:21:07 id = 5 (local); Seed = 746; Starting new sample
2019-04-20 19:21:21 id = 2 (local); Seed = 741; Done (0)
2019-04-20 19:21:21 id = 2 (local); Seed = 747; Starting new sample
2019-04-20 19:21:31 id = 3 (local); Seed = 744; Done (0)
2019-04-20 19:21:31 id = 3 (local); Seed = 748; Starting new sample
2019-04-20 19:21:43 id = 0 (local); Seed = 742; Done (2)
2019-04-20 19:21:43 id = 0 (local); Seed = 749; Starting new sample
2019-04-20 19:21:44 id = 1 (local); Seed = 743; Done (0)
2019-04-20 19:21:44 id = 1 (local); Seed = 750; Starting new sample
2019-04-20 19:22:29 id = 4 (local); Seed = 745; Done (0)
2019-04-20 19:22:29 id = 4 (local); Seed = 751; Starting new sample
2019-04-20 19:22:50 id = 5 (local); Seed = 746; Done (1)
2019-04-20 19:22:50 id = 5 (local); Seed = 752; Starting new sample
2019-04-20 19:22:53 id = 2 (local); Seed = 747; Done (0)
2019-04-20 19:22:53 id = 2 (local); Seed = 753; Starting new sample
2019-04-20 19:23:09 id = 3 (local); Seed = 748; Done (0)
2019-04-20 19:23:09 id = 3 (local); Seed = 754; Starting new sample
2019-04-20 19:23:21 id = 0 (local); Seed = 749; Done (0)
2019-04-20 19:23:21 id = 0 (local); Seed = 755; Starting new sample
2019-04-20 19:23:27 id = 1 (local); Seed = 750; Done (0)
2019-04-20 19:23:27 id = 1 (local); Seed = 756; Starting new sample
2019-04-20 19:24:12 id = 5 (local); Seed = 752; Done (0)
2019-04-20 19:24:12 id = 5 (local); Seed = 757; Starting new sample
2019-04-20 19:24:12 id = 4 (local); Seed = 751; Done (1)
2019-04-20 19:24:12 id = 4 (local); Seed = 758; Starting new sample
2019-04-20 19:24:32 id = 2 (local); Seed = 753; Done (0)
2019-04-20 19:24:32 id = 2 (local); Seed = 759; Starting new sample
2019-04-20 19:24:51 id = 3 (local); Seed = 754; Done (0)
2019-04-20 19:24:51 id = 3 (local); Seed = 760; Starting new sample
2019-04-20 19:24:54 id = 1 (local); Seed = 756; Done (0)
2019-04-20 19:24:54 id = 1 (local); Seed = 761; Starting new sample
2019-04-20 19:25:04 id = 0 (local); Seed = 755; Done (1)
2019-04-20 19:25:04 id = 0 (local); Seed = 762; Starting new sample
2019-04-20 19:25:40 id = 5 (local); Seed = 757; Done (1)
2019-04-20 19:25:40 id = 5 (local); Seed = 763; Starting new sample
2019-04-20 19:25:54 id = 4 (local); Seed = 758; Done (0)
2019-04-20 19:25:54 id = 4 (local); Seed = 764; Starting new sample
2019-04-20 19:25:54 id = 2 (local); Seed = 759; Done (1)
2019-04-20 19:25:54 id = 2 (local); Seed = 765; Starting new sample
2019-04-20 19:26:29 id = 3 (local); Seed = 760; Done (0)
2019-04-20 19:26:29 id = 3 (local); Seed = 766; Starting new sample
2019-04-20 19:26:31 id = 1 (local); Seed = 761; Done (0)
2019-04-20 19:26:31 id = 1 (local); Seed = 767; Starting new sample
2019-04-20 19:26:46 id = 0 (local); Seed = 762; Done (0)
2019-04-20 19:26:46 id = 0 (local); Seed = 768; Starting new sample
2019-04-20 19:27:14 id = 2 (local); Seed = 765; Done (0)
2019-04-20 19:27:14 id = 2 (local); Seed = 769; Starting new sample
2019-04-20 19:27:23 id = 5 (local); Seed = 763; Done (1)
2019-04-20 19:27:23 id = 5 (local); Seed = 770; Starting new sample
2019-04-20 19:27:32 id = 4 (local); Seed = 764; Done (0)
2019-04-20 19:27:32 id = 4 (local); Seed = 771; Starting new sample
2019-04-20 19:28:06 id = 0 (local); Seed = 768; Done (0)
2019-04-20 19:28:06 id = 0 (local); Seed = 772; Starting new sample
2019-04-20 19:28:11 id = 3 (local); Seed = 766; Done (0)
2019-04-20 19:28:11 id = 3 (local); Seed = 773; Starting new sample
2019-04-20 19:28:14 id = 1 (local); Seed = 767; Done (0)
2019-04-20 19:28:14 id = 1 (local); Seed = 774; Starting new sample
2019-04-20 19:28:50 id = 2 (local); Seed = 769; Done (1)
2019-04-20 19:28:50 id = 2 (local); Seed = 775; Starting new sample
2019-04-20 19:29:05 id = 5 (local); Seed = 770; Done (1)
2019-04-20 19:29:05 id = 5 (local); Seed = 776; Starting new sample
2019-04-20 19:29:14 id = 4 (local); Seed = 771; Done (2)
2019-04-20 19:29:14 id = 4 (local); Seed = 777; Starting new sample
2019-04-20 19:29:44 id = 0 (local); Seed = 772; Done (0)
2019-04-20 19:29:44 id = 0 (local); Seed = 778; Starting new sample
2019-04-20 19:29:49 id = 1 (local); Seed = 774; Done (0)
2019-04-20 19:29:49 id = 1 (local); Seed = 779; Starting new sample
2019-04-20 19:29:54 id = 3 (local); Seed = 773; Done (2)
2019-04-20 19:29:54 id = 3 (local); Seed = 780; Starting new sample
2019-04-20 19:30:32 id = 2 (local); Seed = 775; Done (0)
2019-04-20 19:30:32 id = 2 (local); Seed = 781; Starting new sample
2019-04-20 19:30:41 id = 5 (local); Seed = 776; Done (0)
2019-04-20 19:30:41 id = 5 (local); Seed = 782; Starting new sample
2019-04-20 19:30:53 id = 4 (local); Seed = 777; Done (0)
2019-04-20 19:30:53 id = 4 (local); Seed = 783; Starting new sample
2019-04-20 19:31:16 id = 3 (local); Seed = 780; Done (0)
2019-04-20 19:31:16 id = 3 (local); Seed = 784; Starting new sample
2019-04-20 19:31:27 id = 0 (local); Seed = 778; Done (0)
2019-04-20 19:31:27 id = 0 (local); Seed = 785; Starting new sample
2019-04-20 19:31:32 id = 1 (local); Seed = 779; Done (0)
2019-04-20 19:31:32 id = 1 (local); Seed = 786; Starting new sample
2019-04-20 19:32:03 id = 2 (local); Seed = 781; Done (0)
2019-04-20 19:32:03 id = 2 (local); Seed = 787; Starting new sample
2019-04-20 19:32:23 id = 5 (local); Seed = 782; Done (0)
2019-04-20 19:32:23 id = 5 (local); Seed = 788; Starting new sample
2019-04-20 19:32:36 id = 4 (local); Seed = 783; Done (1)
2019-04-20 19:32:36 id = 4 (local); Seed = 789; Starting new sample
2019-04-20 19:32:38 id = 3 (local); Seed = 784; Done (0)
2019-04-20 19:32:38 id = 3 (local); Seed = 790; Starting new sample
2019-04-20 19:33:06 id = 0 (local); Seed = 785; Done (0)
2019-04-20 19:33:06 id = 0 (local); Seed = 791; Starting new sample
2019-04-20 19:33:14 id = 1 (local); Seed = 786; Done (2)
